  EVENT_ID Name                                                         WAIT_CLASS_ID WAIT_CLASS
2516578839 null event                                                      1893977003 Other
3539483025 pmon timer                                                      2723168908 Idle
3934444552 logout restrictor                                               3875070507 Concurrency
 939791390 VKTM Logical Idle Wait                                          2723168908 Idle
1513856046 VKTM Init Wait for GSGA                                         2723168908 Idle
1421578053 IORM Scheduler Slave Idle Wait                                  2723168908 Idle
1179235204 Parameter File I/O                                              1740759767 User I/O
 866018717 rdbms ipc message                                               2723168908 Idle
3222461937 remote db operation                                             2000153315 Network
2171045634 remote db file read                                             2000153315 Network
 538064841 remote db file write                                            2000153315 Network
 166678035 Disk file operations I/O                                        1740759767 User I/O
2215689832 Disk file I/O Calibration                                       1740759767 User I/O
  13102552 Disk file Mirror Read                                           1740759767 User I/O
2577606720 Disk file Mirror/Media Repair Write                             1740759767 User I/O
2093619153 direct path sync                                                1740759767 User I/O
2006672057 Clonedb bitmap file write                                       4108307767 System I/O
4155572307 Datapump dump file I/O                                          1740759767 User I/O
1791724291 dbms_file_transfer I/O                                          1740759767 User I/O
 432473858 DG Broker configuration file I/O                                1740759767 User I/O
2326919048 Data file init write                                            1740759767 User I/O
3992632846 Log file init write                                             1740759767 User I/O
2089793129 Log archive I/O                                                 4108307767 System I/O
3107297351 RMAN backup & recovery I/O                                      4108307767 System I/O
3511162007 Standby redo I/O                                                4108307767 System I/O
2907891391 Network file transfer                                           4108307767 System I/O
 708427085 Backup: MML initialization                                      4166625743 Administrative
  90799346 Backup: MML v1 open backup piece                                4166625743 Administrative
1699816995 Backup: MML v1 read backup piece                                4166625743 Administrative
2733564901 Backup: MML v1 write backup piece                               4166625743 Administrative
3963262976 Backup: MML v1 close backup piece                               4166625743 Administrative
4157057748 Backup: MML v1 query backup piece                               4166625743 Administrative
4019590666 Backup: MML v1 delete backup piece                              4166625743 Administrative
1895924988 Backup: MML create a backup piece                               4166625743 Administrative
3051341818 Backup: MML commit backup piece                                 4166625743 Administrative
3102084144 Backup: MML command to channel                                  4166625743 Administrative
2388692075 Backup: MML shutdown                                            4166625743 Administrative
1926582779 Backup: MML obtain textual error                                4166625743 Administrative
2632503569 Backup: MML query backup piece                                  4166625743 Administrative
2690859083 Backup: MML extended initialization                             4166625743 Administrative
1533823139 Backup: MML read backup piece                                   4166625743 Administrative
2524600641 Backup: MML delete backup piece                                 4166625743 Administrative
2275421618 Backup: MML restore backup piece                                4166625743 Administrative
3388241768 Backup: MML write backup piece                                  4166625743 Administrative
3815526880 Backup: MML proxy initialize backup                             4166625743 Administrative
2642609849 Backup: MML proxy cancel                                        4166625743 Administrative
2960327623 Backup: MML proxy commit backup piece                           4166625743 Administrative
1156967028 Backup: MML proxy session end                                   4166625743 Administrative
 583062335 Backup: MML datafile proxy backup?                              4166625743 Administrative
3346425666 Backup: MML datafile proxy restore?                             4166625743 Administrative
 585335785 Backup: MML proxy initialize restore                            4166625743 Administrative
2701284369 Backup: MML proxy start data movement                           4166625743 Administrative
 216701082 Backup: MML data movement done?                                 4166625743 Administrative
4278597786 Backup: MML proxy prepare to start                              4166625743 Administrative
2139086251 Backup: MML obtain a direct buffer                              4166625743 Administrative
2070697616 Backup: MML release a direct buffer                             4166625743 Administrative
 531815827 Backup: MML get base address                                    4166625743 Administrative
3181276243 Backup: MML query for direct buffers                            4166625743 Administrative
1867721841 io done                                                         4108307767 System I/O
4259433894 i/o slave wait                                                  2723168908 Idle
4120085931 RMAN Disk slave I/O                                             4108307767 System I/O
2828390964 RMAN Tape slave I/O                                             4108307767 System I/O
3671110102 DBWR slave I/O                                                  4108307767 System I/O
1180269184 LGWR slave I/O                                                  4108307767 System I/O
1260687889 Archiver slave I/O                                              4108307767 System I/O
  58311103 VKRM Idle                                                       2723168908 Idle
 218649935 wait for unread message on broadcast channel                    2723168908 Idle
3224768590 wait for unread message on multiple broadcast channels          2723168908 Idle
1055154682 class slave wait                                                2723168908 Idle
1510356050 KSV master wait                                                 2723168908 Idle
 900394413 PING                                                            2723168908 Idle
  86156091 os thread startup                                               3875070507 Concurrency
2748706322 watchdog main loop                                              2723168908 Idle
 565450542 File Repopulation Write                                         4108307767 System I/O
3176176482 DIAG idle wait                                                  2723168908 Idle
 317011907 ges remote message                                              2723168908 Idle
2910564005 gcs remote message                                              2723168908 Idle
2619295687 heartbeat monitor sleep                                         2723168908 Idle
 341609523 GCR sleep                                                       2723168908 Idle
1989349184 SGA: MMAN sleep for component shrink                            2723168908 Idle
 863929674 retry contact SCN lock master                                   3871361733 Cluster
3213517201 control file sequential read                                    4108307767 System I/O
2383414886 control file single write                                       4108307767 System I/O
4078387448 control file parallel write                                     4108307767 System I/O
2365673131 control file backup creation                                    4166625743 Administrative
2970185817 Shared IO Pool Memory                                           3875070507 Concurrency
1959037329 Shared IO Pool IO Completion                                    1740759767 User I/O
3141712284 enq: PW - flush prewarm buffers                                 4217450380 Application
2779959231 latch: cache buffers chains                                     3875070507 Concurrency
2701153470 free buffer waits                                               3290255840 Configuration
1570123276 local write wait                                                1740759767 User I/O
1181827162 checkpoint completed                                            3290255840 Configuration
4229542060 write complete waits                                            3290255840 Configuration
2451603592 write complete waits: flash cache                               3290255840 Configuration
3761122497 buffer read retry                                               1740759767 User I/O
2161531084 buffer busy waits                                               3875070507 Concurrency
1912606394 gc buffer busy acquire                                          3871361733 Cluster
 105117041 gc buffer busy release                                          3871361733 Cluster
3056446529 read by other session                                           1740759767 User I/O
1176352510 multiple dbwriter suspend/resume for file offline               4166625743 Administrative
 765902655 recovery read                                                   4108307767 System I/O
1387386639 pi renounce write complete                                      3871361733 Cluster
1963118444 db flash cache single block physical read                       1740759767 User I/O
2070455916 db flash cache multiblock physical read                         1740759767 User I/O
1153916164 db flash cache write                                            1740759767 User I/O
1055954476 db flash cache invalidate wait                                  3875070507 Concurrency
1847602198 db flash cache dynamic disabling wait                           4166625743 Administrative
3500532018 enq: RO - contention                                            4217450380 Application
 143262751 enq: RO - fast object reuse                                     4217450380 Application
4205197519 enq: KO - fast object checkpoint                                4217450380 Application
1460436880 MRP redo arrival                                                2723168908 Idle
3134783330 RFS sequential i/o                                              4108307767 System I/O
3089862638 RFS random i/o                                                  4108307767 System I/O
2009048728 RFS write                                                       4108307767 System I/O
1959287235 ARCH wait for net re-connect                                    2000153315 Network
 751287246 LGWR wait on ATTACH                                             2000153315 Network
1065653716 ARCH wait on ATTACH                                             2000153315 Network
4051103488 ARCH wait for netserver start                                   2000153315 Network
